mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0010021209716796875,9.120437786869226e-06,0.0,0.0,1,linear,,"{'C': 1, 'kernel': 'linear'}",1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9857142857142858,0.01749635530559412,5
0.0,0.0,0.000985574722290039,4.722864439135559e-05,10,linear,,"{'C': 10, 'kernel': 'linear'}",1.0,0.9642857142857143,1.0,0.9464285714285714,1.0,0.9821428571428571,0.022587697572631286,10
0.0,0.0,0.0001900196075439453,0.0003800392150878906,100,linear,,"{'C': 100, 'kernel': 'linear'}",1.0,0.9642857142857143,1.0,0.9821428571428571,1.0,0.9892857142857142,0.014285714285714285,1
0.0003986835479736328,0.0004882856830753314,0.0,0.0,1000,linear,,"{'C': 1000, 'kernel': 'linear'}",1.0,0.9642857142857143,1.0,0.9821428571428571,1.0,0.9892857142857142,0.014285714285714285,1
0.0010057926177978516,1.5469379381765255e-05,0.00039076805114746094,0.00047874892373346204,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9821428571428571,0.9642857142857143,1.0,0.9821428571428571,0.9464285714285714,0.975,0.01821078397711709,11
0.0017217159271240234,0.00038697721263219635,0.00047812461853027346,0.00041852656640993627,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9285714285714286,0.875,0.9821428571428571,0.875,0.875,0.9071428571428571,0.042857142857142844,15
0.0016631126403808595,0.0005748989447293973,0.00040121078491210936,0.0004928595510425165,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.625,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6392857142857142,0.007142857142857162,18
0.0014042854309082031,0.0005198399881350812,0.0005967617034912109,0.0004879772182240057,1,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.625,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6392857142857142,0.007142857142857162,18
0.00040030479431152344,0.0004907754806179938,0.0005939483642578125,0.0004864306837483125,10,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9857142857142858,0.01749635530559412,5
0.0010548114776611328,0.00011853268298141629,0.0005504608154296875,0.00046226654593142785,10,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9821428571428571,0.9642857142857143,1.0,0.9821428571428571,0.9464285714285714,0.975,0.01821078397711709,11
0.001983356475830078,2.147589016120332e-05,0.0008098602294921875,0.000405066511448654,10,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9285714285714286,0.875,0.9821428571428571,0.875,0.875,0.9071428571428571,0.042857142857142844,15
0.001912403106689453,0.0005131779760594616,0.000786590576171875,0.000393880983588059,10,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.625,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6392857142857142,0.007142857142857162,18
0.0009434223175048828,0.0005334119001099283,0.00021610260009765624,0.00027179523935796235,100,rbf,0.1,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9821428571428571,0.9642857142857143,1.0,0.9821428571428571,1.0,0.9857142857142858,0.01336306209562122,5
0.0005967617034912109,0.00048725441161371724,0.0003976345062255859,0.0004870008280241833,100,rbf,0.01,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9821428571428571,1.0,0.9642857142857143,1.0,0.9892857142857142,0.014285714285714285,1
0.0011379241943359375,0.00027138852467839883,0.00019159317016601563,0.0003831863403320313,100,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9821428571428571,0.9642857142857143,1.0,0.9821428571428571,0.9464285714285714,0.975,0.01821078397711709,11
0.0017833709716796875,0.00039370065092614206,0.000623321533203125,0.0005096191099509081,100,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9285714285714286,0.875,0.9821428571428571,0.875,0.875,0.9071428571428571,0.042857142857142844,15
0.0009845733642578126,4.771269871140921e-05,0.0,0.0,1000,rbf,0.1,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9857142857142858,0.01749635530559412,5
0.0010097980499267577,6.237471124526084e-05,0.0,0.0,1000,rbf,0.01,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9857142857142858,0.01749635530559412,5
0.00040035247802734376,0.0004918468014670187,0.0002109527587890625,0.0004219055175781249,1000,rbf,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9821428571428571,1.0,0.9642857142857143,1.0,0.9892857142857142,0.014285714285714285,1
0.0009857654571533204,6.394626305703216e-05,0.0,0.0,1000,rbf,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9821428571428571,0.9642857142857143,1.0,0.9821428571428571,0.9464285714285714,0.975,0.01821078397711709,11
