mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.004278362,0.003935919,0.000499785,0.000500463,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.983,0.975,0.975,0.975,0.977,0.004,10
0.001998365,3.63E-06,0,0,10,linear,,"{'C': 10, 'kernel': 'linear'}",0.992,0.992,0.975,0.979,0.984,0.007,6
0.002743065,0.00043402,0.000248909,0.000431123,100,linear,,"{'C': 100, 'kernel': 'linear'}",0.992,0.992,0.983,0.979,0.986,0.005,2
0.003724635,0.000419069,0.000505924,0.000506099,1000,linear,,"{'C': 1000, 'kernel': 'linear'}",0.992,0.992,0.979,0.979,0.985,0.006,4
0.006724119,0.000425693,0.001495361,0.000497818,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.975,0.971,0.963,0.958,0.967,0.007,11
0.009474635,0.000498176,0.002744019,0.000433094,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.801,0.829,0.808,0.821,0.815,0.011,17
0.009447932,0.000473821,0.002241254,0.000433551,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.548,0.550,0.550,0.546,0.548,0.002,18
0.009723067,0.000431505,0.002797008,0.000907338,1,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.548,0.550,0.550,0.546,0.548,0.002,18
0.002956688,3.56E-05,0.000783086,0.00045445,10,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.988,0.983,0.971,0.979,0.980,0.006,9
0.005721331,0.000425057,0.001493692,0.000497462,10,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.971,0.967,0.954,0.958,0.963,0.007,12
0.00922519,0.000431915,0.002243698,0.000431708,10,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.801,0.829,0.804,0.825,0.815,0.012,15
0.009504437,0.000473125,0.002215028,0.000382463,10,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.548,0.550,0.550,0.546,0.548,0.002,18
0.001987517,1.26E-05,0.000249326,0.000431846,100,rbf,0.1,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.992,0.988,0.979,0.983,0.985,0.005,3
0.002492964,0.000498474,0.000789404,0.000460777,100,rbf,0.01,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.988,0.979,0.979,0.979,0.981,0.004,7
0.005734622,0.000432052,0.001246512,0.000431915,100,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.971,0.967,0.954,0.958,0.963,0.007,12
0.009973049,2.29E-05,0.001995087,1.27E-06,100,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.801,0.829,0.804,0.825,0.815,0.012,15
0.002991915,5.59E-07,0.00049895,0.00049895,1000,rbf,0.1,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",1.000,1.000,1.000,1.000,1.000,0.000,1
0.002757311,0.00044163,0.000249505,0.000432155,1000,rbf,0.01,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.992,0.992,0.979,0.979,0.985,0.006,4
0.002991796,3.58E-07,0.000249386,0.000431949,1000,rbf,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.988,0.979,0.979,0.979,0.981,0.004,7
0.005984008,4.26E-07,0.001246572,0.00043133,1000,rbf,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.971,0.967,0.954,0.958,0.963,0.007,12
